Anio;Trimestre;Provincia;Accesos por cada 100 hogares;Dia;Mes
2017;2;Córdoba;58.97352891;1;5
2017;2;Corrientes;31.38612137;1;5
2017;2;Entre Ríos;45.38933103;1;5
2017;2;Formosa;19.96507645;1;5
2017;2;Jujuy;22.40341589;1;5
2017;2;La Pampa;63.49352648;1;5
2017;2;La Rioja;16.20344581;1;5
2017;2;Mendoza;31.75860536;1;5
2017;2;Misiones;30.08924803;1;5
2017;2;Neuquén;61.91013428;1;5
2017;2;Río Negro;46.02080512;1;5
2017;2;Salta;32.73942026;1;5
2017;2;San Juan;26.96461612;1;5
2017;2;San Luis;9.513970315;1;5
2017;2;Santa Cruz;26.24861983;1;5
2017;2;Santa Fe;52.26961124;1;5
2017;2;Santiago Del Estero;14.11898807;1;5
2017;2;Tierra Del Fuego;68.46322076;1;5
2017;2;Tucumán;38.18623366;1;5
2017;1;Buenos Aires;58.57400245;1;2
2017;1;Capital Federal;108.3692084;1;2
2017;1;Catamarca;25.65935084;1;2
2017;1;Chaco;28.62166054;1;2
2017;1;Chubut;35.66222024;1;2
2017;1;Córdoba;57.65332959;1;2
2017;1;Corrientes;30.94060011;1;2
2017;1;Entre Ríos;44.90727369;1;2
2017;1;Formosa;19.84248918;1;2
2017;1;Jujuy;22.75698596;1;2
2017;1;La Pampa;62.66928105;1;2
2017;1;La Rioja;16.19552415;1;2
2017;1;Mendoza;31.84301277;1;2
2017;1;Misiones;29.52220236;1;2
2017;1;Neuquén;61.02302007;1;2
2017;1;Río Negro;46.02953874;1;2
2017;1;Salta;32.57548931;1;2
2017;1;San Juan;27.03676099;1;2
2017;1;San Luis;9.545500194;1;2
2017;1;Santa Cruz;26.52499174;1;2
2017;1;Santa Fe;51.97010769;1;2
2017;1;Santiago Del Estero;14.70211949;1;2
2017;1;Tierra Del Fuego;68.91974851;1;2
2017;1;Tucumán;37.90016076;1;2
2016;4;Buenos Aires;61.23658743;1;11
2016;4;Capital Federal;120.6313317;1;11
2016;4;Catamarca;26.54351559;1;11
2016;4;Chaco;28.78665609;1;11
2016;4;Chubut;36.07290546;1;11
2016;4;Córdoba;57.69671915;1;11
2016;4;Corrientes;30.98107038;1;11
2016;4;Entre Ríos;45.20840285;1;11
2016;4;Formosa;19.84823608;1;11
2016;4;Jujuy;22.65138701;1;11
