Anio;Trimestre;Provincia;Penetracion;Tecnologia;Dia;Mes;Fecha
2016;2;Corrientes;30.58016205;Internet;1;4;1-4-2016
2016;2;Entre Ríos;44.73887455;Internet;1;4;1-4-2016
2016;2;Formosa;19.37007066;Internet;1;4;1-4-2016
2016;2;Jujuy;21.88828104;Internet;1;4;1-4-2016
2016;2;La Pampa;60.43686026;Internet;1;4;1-4-2016
2016;2;La Rioja;16.87890261;Internet;1;4;1-4-2016
2016;2;Mendoza;32.12597179;Internet;1;4;1-4-2016
2016;2;Misiones;29.23951282;Internet;1;4;1-4-2016
2016;2;Neuquén;59.09828553;Internet;1;4;1-4-2016
2016;2;Río Negro;46.24011308;Internet;1;4;1-4-2016
2016;2;Salta;32.08172603;Internet;1;4;1-4-2016
2016;2;San Juan;27.34078151;Internet;1;4;1-4-2016
2016;2;San Luis;9.603733852;Internet;1;4;1-4-2016
2016;2;Santa Cruz;26.72891173;Internet;1;4;1-4-2016
2016;2;Santa Fe;52.43647726;Internet;1;4;1-4-2016
2016;2;Santiago Del Estero;15.88892505;Internet;1;4;1-4-2016
2016;2;Tierra Del Fuego;67.71824288;Internet;1;4;1-4-2016
2016;2;Tucumán;37.23568289;Internet;1;4;1-4-2016
2016;3;Buenos Aires;60.14329545;Internet;1;7;1-7-2016
2016;3;Capital Federal;120.7728778;Internet;1;7;1-7-2016
2016;3;Catamarca;26.48067676;Internet;1;7;1-7-2016
2016;3;Chaco;28.91074907;Internet;1;7;1-7-2016
2016;3;Chubut;36.17869443;Internet;1;7;1-7-2016
2016;3;Córdoba;58.24381626;Internet;1;7;1-7-2016
2016;3;Corrientes;31.06687883;Internet;1;7;1-7-2016
2016;3;Entre Ríos;45.43514088;Internet;1;7;1-7-2016
2016;3;Formosa;18.6397083;Internet;1;7;1-7-2016
2016;3;Jujuy;22.60515427;Internet;1;7;1-7-2016
2016;3;La Pampa;61.73178544;Internet;1;7;1-7-2016
2016;3;La Rioja;17.07455911;Internet;1;7;1-7-2016
2016;3;Mendoza;32.08835885;Internet;1;7;1-7-2016
2016;3;Misiones;29.90538578;Internet;1;7;1-7-2016
2016;3;Neuquén;60.21485089;Internet;1;7;1-7-2016
2016;3;Río Negro;46.38796536;Internet;1;7;1-7-2016
2016;3;Salta;32.95583168;Internet;1;7;1-7-2016
2016;3;San Juan;27.31712714;Internet;1;7;1-7-2016
2016;3;San Luis;9.630539687;Internet;1;7;1-7-2016
2016;3;Santa Cruz;26.8352019;Internet;1;7;1-7-2016
2016;3;Santa Fe;52.67215037;Internet;1;7;1-7-2016
2016;3;Santiago Del Estero;15.32964658;Internet;1;7;1-7-2016
2016;3;Tierra Del Fuego;68.94049249;Internet;1;7;1-7-2016
2016;3;Tucumán;37.89736341;Internet;1;7;1-7-2016
2016;4;Buenos Aires;61.23658743;Internet;1;10;1-10-2016
2016;4;Capital Federal;120.6313317;Internet;1;10;1-10-2016
2016;4;Catamarca;26.54351559;Internet;1;10;1-10-2016
2016;4;Chaco;28.78665609;Internet;1;10;1-10-2016
2016;4;Chubut;36.07290546;Internet;1;10;1-10-2016
2016;4;Córdoba;57.69671915;Internet;1;10;1-10-2016
2016;4;Corrientes;30.98107038;Internet;1;10;1-10-2016
2016;4;Entre Ríos;45.20840285;Internet;1;10;1-10-2016
2016;4;Formosa;19.84823608;Internet;1;10;1-10-2016
2016;4;Jujuy;22.65138701;Internet;1;10;1-10-2016
2016;4;La Pampa;63.01618277;Internet;1;10;1-10-2016
2016;4;La Rioja;16.45531638;Internet;1;10;1-10-2016
2016;4;Mendoza;32.10735338;Internet;1;10;1-10-2016
2016;4;Misiones;29.72014981;Internet;1;10;1-10-2016
2016;4;Neuquén;60.87366723;Internet;1;10;1-10-2016
2016;4;Río Negro;46.38521035;Internet;1;10;1-10-2016
2016;4;Salta;32.69411974;Internet;1;10;1-10-2016
2016;4;San Juan;27.29242145;Internet;1;10;1-10-2016
2016;4;San Luis;9.640682435;Internet;1;10;1-10-2016
2016;4;Santa Cruz;27.04676021;Internet;1;10;1-10-2016
2016;4;Santa Fe;52.19105024;Internet;1;10;1-10-2016
2016;4;Santiago Del Estero;15.06784751;Internet;1;10;1-10-2016
2016;4;Tierra Del Fuego;70.30526591;Internet;1;10;1-10-2016
2016;4;Tucumán;37.9807622;Internet;1;10;1-10-2016
2017;1;Buenos Aires;58.57400245;Internet;1;1;1-1-2017
2017;1;Capital Federal;108.3692084;Internet;1;1;1-1-2017
2017;1;Catamarca;25.65935084;Internet;1;1;1-1-2017
2017;1;Chaco;28.62166054;Internet;1;1;1-1-2017
2017;1;Chubut;35.66222024;Internet;1;1;1-1-2017
2017;1;Córdoba;57.65332959;Internet;1;1;1-1-2017
2017;1;Corrientes;30.94060011;Internet;1;1;1-1-2017
2017;1;Entre Ríos;44.90727369;Internet;1;1;1-1-2017
2017;1;Formosa;19.84248918;Internet;1;1;1-1-2017
2017;1;Jujuy;22.75698596;Internet;1;1;1-1-2017
2017;1;La Pampa;62.66928105;Internet;1;1;1-1-2017
2017;1;La Rioja;16.19552415;Internet;1;1;1-1-2017
2017;1;Mendoza;31.84301277;Internet;1;1;1-1-2017
2017;1;Misiones;29.52220236;Internet;1;1;1-1-2017
2017;1;Neuquén;61.02302007;Internet;1;1;1-1-2017
2017;1;Río Negro;46.02953874;Internet;1;1;1-1-2017
2017;1;Salta;32.57548931;Internet;1;1;1-1-2017
2017;1;San Juan;27.03676099;Internet;1;1;1-1-2017
2017;1;San Luis;9.545500194;Internet;1;1;1-1-2017
2017;1;Santa Cruz;26.52499174;Internet;1;1;1-1-2017
2017;1;Santa Fe;51.97010769;Internet;1;1;1-1-2017
2017;1;Santiago Del Estero;14.70211949;Internet;1;1;1-1-2017
2017;1;Tierra Del Fuego;68.91974851;Internet;1;1;1-1-2017
2017;1;Tucumán;37.90016076;Internet;1;1;1-1-2017
2017;2;Buenos Aires;56.27214416;Internet;1;4;1-4-2017
2017;2;Capital Federal;124.0613938;Internet;1;4;1-4-2017
2017;2;Catamarca;25.97712107;Internet;1;4;1-4-2017
2017;2;Chaco;29.04552478;Internet;1;4;1-4-2017
2017;2;Chubut;35.54601118;Internet;1;4;1-4-2017
2017;2;Córdoba;58.97352891;Internet;1;4;1-4-2017
2017;2;Corrientes;31.38612137;Internet;1;4;1-4-2017
2017;2;Entre Ríos;45.38933103;Internet;1;4;1-4-2017
2017;2;Formosa;19.96507645;Internet;1;4;1-4-2017
2017;2;Jujuy;22.40341589;Internet;1;4;1-4-2017
2017;2;La Pampa;63.49352648;Internet;1;4;1-4-2017
2017;2;La Rioja;16.20344581;Internet;1;4;1-4-2017
2017;2;Mendoza;31.75860536;Internet;1;4;1-4-2017
2017;2;Misiones;30.08924803;Internet;1;4;1-4-2017
2017;2;Neuquén;61.91013428;Internet;1;4;1-4-2017
2017;2;Río Negro;46.02080512;Internet;1;4;1-4-2017
2017;2;Salta;32.73942026;Internet;1;4;1-4-2017
2017;2;San Juan;26.96461612;Internet;1;4;1-4-2017
2017;2;San Luis;9.513970315;Internet;1;4;1-4-2017
2017;2;Santa Cruz;26.24861983;Internet;1;4;1-4-2017
2017;2;Santa Fe;52.26961124;Internet;1;4;1-4-2017
2017;2;Santiago Del Estero;14.11898807;Internet;1;4;1-4-2017
2017;2;Tierra Del Fuego;68.46322076;Internet;1;4;1-4-2017
2017;2;Tucumán;38.18623366;Internet;1;4;1-4-2017
2017;3;Buenos Aires;55.6293834;Internet;1;7;1-7-2017
2017;3;Capital Federal;121.8583259;Internet;1;7;1-7-2017
2017;3;Catamarca;32.49092568;Internet;1;7;1-7-2017
2017;3;Chaco;29.97592565;Internet;1;7;1-7-2017
2017;3;Chubut;46.21537747;Internet;1;7;1-7-2017
2017;3;Córdoba;62.30700225;Internet;1;7;1-7-2017
2017;3;Corrientes;32.16543575;Internet;1;7;1-7-2017
2017;3;Entre Ríos;45.95812167;Internet;1;7;1-7-2017
2017;3;Formosa;21.35038438;Internet;1;7;1-7-2017
2017;3;Jujuy;22.645363;Internet;1;7;1-7-2017
2017;3;La Pampa;69.13993701;Internet;1;7;1-7-2017
2017;3;La Rioja;51.4652523;Internet;1;7;1-7-2017
2017;3;Mendoza;35.70493178;Internet;1;7;1-7-2017
2017;3;Misiones;30.20599093;Internet;1;7;1-7-2017
2017;3;Neuquén;60.83041311;Internet;1;7;1-7-2017
2017;3;Río Negro;48.51865894;Internet;1;7;1-7-2017
2017;3;Salta;39.83970081;Internet;1;7;1-7-2017
2017;3;San Juan;32.36688936;Internet;1;7;1-7-2017
2017;3;San Luis;15.47786179;Internet;1;7;1-7-2017
2017;3;Santa Cruz;33.29182972;Internet;1;7;1-7-2017
2017;3;Santa Fe;60.90635563;Internet;1;7;1-7-2017
2017;3;Santiago Del Estero;35.12104488;Internet;1;7;1-7-2017
2017;3;Tierra Del Fuego;65.74180473;Internet;1;7;1-7-2017
2017;3;Tucumán;39.69537916;Internet;1;7;1-7-2017
2017;4;Buenos Aires;57.60961529;Internet;1;10;1-10-2017
2017;4;Capital Federal;122.8974242;Internet;1;10;1-10-2017
2017;4;Catamarca;28.62095009;Internet;1;10;1-10-2017
2017;4;Chaco;30.80815811;Internet;1;10;1-10-2017
2017;4;Chubut;51.46309627;Internet;1;10;1-10-2017
2017;4;Córdoba;63.33262565;Internet;1;10;1-10-2017
2017;4;Corrientes;32.51511831;Internet;1;10;1-10-2017
2017;4;Entre Ríos;47.88524529;Internet;1;10;1-10-2017
2017;4;Formosa;21.27097669;Internet;1;10;1-10-2017
2017;4;Jujuy;22.74208372;Internet;1;10;1-10-2017
2017;4;La Pampa;71.04976106;Internet;1;10;1-10-2017
2017;4;La Rioja;51.56847441;Internet;1;10;1-10-2017
2017;4;Mendoza;33.32562553;Internet;1;10;1-10-2017
2017;4;Misiones;31.14218485;Internet;1;10;1-10-2017
2017;4;Neuquén;61.24232318;Internet;1;10;1-10-2017
2017;4;Río Negro;49.37562977;Internet;1;10;1-10-2017
2017;4;Salta;39.79624247;Internet;1;10;1-10-2017
2017;4;San Juan;30.29992919;Internet;1;10;1-10-2017
2017;4;San Luis;10.58673107;Internet;1;10;1-10-2017
